,sound_name,content,embedding_x,embedding_y,cluster
0,PAD Hold Me Close,ONII-CHAN Pad,-0.081082515,-0.41392004,19
1,PAD Crystal Caves,ONII-CHAN Pad,0.33132645,-0.7545079,7
2,PAD Cant You Hear The Bells,ONII-CHAN Pad,-0.76595485,0.40796077,24
3,PAD A Pad 4 Your OP,ONII-CHAN Pad,-0.3766974,-0.26679853,24
4,PAD Clannad,ONII-CHAN Pad,-0.6132822,0.5508846,24
5,CHORD Accordion,ONII-CHAN Chord,-0.008183934,-0.17932269,13
6,CHORD Panda Panda Panda,ONII-CHAN Chord,0.6414628,-0.42489034,22
7,CHORD Eroge,ONII-CHAN Chord,0.54839736,-0.5664928,22
8,CHORD Cross Rhode,ONII-CHAN Chord,-0.83815086,0.21089979,3
9,CHORD Stoney Cat,ONII-CHAN Chord,-0.076646596,-0.20697576,19
10,CHORD Loli Trumpets,ONII-CHAN Chord,0.14916341,-0.5548058,7
11,CHORD Sneek Sneek,ONII-CHAN Chord,-0.49661314,-0.2514735,20
12,CHORD Bubble Bath,ONII-CHAN Chord,-0.57223064,0.5565933,6
13,CHORD Open Me Up,ONII-CHAN Chord,-0.45539907,-0.22172208,24
14,CHORD Bakayaro,ONII-CHAN Chord,0.4467477,-0.18106267,1
15,CHORD Flower Bed,ONII-CHAN Chord,0.65550804,-0.39924622,22
16,CHORD Racer,ONII-CHAN Chord,0.4025663,-0.20201601,1
17,CHORD Cawfee Chords,ONII-CHAN Chord,0.36024767,-0.25680727,1
18,CHORD Pizza Sauce,ONII-CHAN Chord,0.62892604,-0.35732815,22
19,CHORD Panda XPress,ONII-CHAN Chord,0.1579594,-0.45228618,7
20,BA Hardbass,NextLight Serum Free BA,-0.017078582,0.55803597,13
21,BA FM Overdrive,NextLight Serum Free BA,-0.10425351,0.33446229,13
22,BA 808sub,NextLight Serum Free BA,-0.48435873,-0.27234754,20
23,BA Cotton,NextLight Serum Free BA,-0.31512004,0.38325372,6
24,BA Overdrive,NextLight Serum Free BA,0.1492416,-0.9438298,7
25,BA Safety Sub,NextLight Serum Free BA,-0.85352063,0.27294832,3
26,REF Analog_PWM_Mdc,OSC,-0.2434076,0.4954459,13
27,REF Analog_Basic Mini,OSC,-0.14581934,0.45891845,13
28,REF Spectral_Oddpass [SN],OSC,0.15862748,0.607205,8
29,REF Spectral_Monster 1 [SL],OSC,-0.31738362,0.31545517,6
30,REF Digital_Dull_toy,OSC,-0.48164105,0.17602375,6
31,REF Digital_Dist Fwapper SQ,OSC,0.1787064,0.7520562,8
32,REF Analog_MiniBass,OSC,-0.32158527,0.12687936,6
33,REF Digital_FMFM,OSC,-0.67881393,-0.061645634,0
34,REF Analog_PWM Juno,OSC,-0.21106192,0.56666887,13
35,REF Analog_PWM Reso,OSC,0.13872276,0.82089776,13
36,REF Analog_BS2-Acid,OSC,-0.24750704,0.4187449,13
37,REF Spectral_Solid Phase 2 [SL],OSC,-0.36981222,0.2999172,6
38,REF Spectral_Trilobyte 1 [SL],OSC,-0.28934374,0.60870594,6
39,REF Analog_Basic_Mdc,OSC,-0.11121855,0.5370191,13
40,REF Digital_FFT_Animal 1,OSC,-0.8645579,0.6726893,15
41,REF Digital_Scream,OSC,-0.8423679,0.026277976,3
42,REF Spectral_Phase Werb [SL],OSC,-0.27211383,0.456003,13
43,REF Analog_Jno,OSC,-0.57598066,0.5189511,6
44,REF Digital_GS-xello,OSC,-0.28819162,0.20743388,6
45,REF Spectral_Squelchy 2 [SL],OSC,-0.34547573,0.42286557,6
46,REF Analog_Basic_Cjw,OSC,-0.8324095,0.0032164054,3
47,REF Digital_Wraith,OSC,0.97407305,-0.045541286,18
48,REF Digital_VintageSynth,OSC,0.16770908,0.77451706,13
49,REF Digital_DirtySaw,OSC,-0.074842185,0.62360793,13
50,REF Vowel_Fred_Likes_Bass,OSC,-0.22036523,0.31905082,13
51,REF Digital_Hoo,OSC,0.399934,0.5994228,9
52,REF Digital_Yoy64,OSC,-0.65751237,0.317234,0
53,REF Digital_Reese,OSC,-0.61814356,0.05337142,0
54,REF Spectral_Electric Guitar [SL],OSC,0.12832363,0.54159975,8
55,REF Spectral_Reesey Mess 1[SL],OSC,-0.30946782,0.24338914,6
56,REF Digital_Misfits,OSC,0.05520033,0.48614392,13
57,REF Analog_MB Triangle(Metal),OSC,-0.6367039,0.2577071,0
58,REF Digital_SSQ,OSC,0.3464855,0.638598,9
59,REF Digital_Dist Sub Dskperc,OSC,-0.79187316,0.03580964,3
60,REF Analog_PWM Restricted,OSC,-0.14827006,0.3484014,13
61,REF Analog_BSOD_Square,OSC,-0.7409395,0.6909609,14
62,REF Digital_Sludgecrank,OSC,0.06938016,0.5621478,13
63,REF Digital_bipole_harmonic,OSC,-0.8898282,0.16114457,3
64,REF Spectral_Thin Thick [SL],OSC,-0.14202526,0.751748,13
65,REF Digital_Dist 8bit Fwap,OSC,-0.4173768,0.36796492,6
66,REF Analog_MsAw,OSC,-0.22161578,0.3920306,13
67,REF Analog_SawRoundedToSquare,OSC,-0.8789084,0.4670488,17
68,REF Spectral_Squelchy FM 1 [SL],OSC,-0.42992544,0.5558309,6
69,REF Spectral_Monster 6 [SL],OSC,0.12189525,0.64899695,8
70,REF Spectral_Squelchy 3[SL],OSC,-0.5453681,0.19005063,0
71,REF Spectral_Monster 7 [SL],OSC,-0.5747609,0.15388083,0
72,REF Digital_Weow,OSC,-0.52885866,0.072252735,6
73,REF Vowel_Retro_Speaking,OSC,0.9657297,-0.09571568,18
74,REF Analog_PWM MG,OSC,-0.2110222,0.44941887,13
75,REF Digital_Debussy,OSC,-0.56037813,0.63741773,6
76,REF Spectral_Light Metal 1 [SL],OSC,-0.044251144,0.6531827,13
77,REF Analog_Acid,OSC,0.025532275,0.42733836,13
78,REF Digital_PWM Weird,OSC,0.2504517,0.67574644,8
79,REF Analog_DS Saw and Tri,OSC,-0.19476087,0.38095593,13
80,REF Digital_Prime,OSC,-0.61731625,0.31652933,0
81,REF Digital_Ring,OSC,0.28845865,0.7432788,8
82,REF Vowel_E_Yeah,OSC,-0.57641876,0.29525146,0
83,REF Digital_Dist WaTech,OSC,-0.080158584,0.4513569,13
84,REF Analog_Basic_McB,OSC,-0.10272128,0.5069315,13
85,REF Digital_Dist d00t,OSC,0.18689504,0.643734,8
86,REF Digital_CrushWub,OSC,-0.52891743,0.07161155,6
87,REF Vowel_Native Curse,OSC,0.20841867,0.34409913,8
88,REF Vowel_SAM_Speaks,OSC,1.0,-0.08875837,18
89,REF Spectral_Scount [SN],OSC,0.27687997,0.81873435,8
90,REF Vowel_DudaChoir,OSC,0.20256206,0.36612567,8
91,REF Digital_Tigra,OSC,0.23297511,0.6148187,8
92,REF Digital_Evol Sweep,OSC,-0.3774346,0.4809251,6
93,REF Spectral_Bowed Metal [ML],OSC,0.39510494,0.5073479,9
94,REF Analog_PWM Maths,OSC,0.97433776,0.008195338,18
95,REF Analog_Sweep20,OSC,-0.34738997,0.4735366,6
96,REF Analog_Basic_Wrd,OSC,-0.8846874,0.440849,17
97,REF Digital_Hypa,OSC,-0.13518603,0.548614,13
98,REF Analog_BS2-Subby Saw,OSC,-0.23131497,0.5532279,13
99,REF Spectral_Reesey Mess 5 [SL],OSC,-0.3988959,0.5456426,6
100,REF Spectral_Reesey Mess 4 [SL],OSC,-0.46690926,0.2390499,6
101,REF Spectral_Squelchy 1 [SL],OSC,-0.25870773,0.5244981,13
102,REF Analog_MATRIXY C64,OSC,-0.1836178,0.55650043,13
103,REF Analog_Basic Mg,OSC,-0.65795916,0.2391957,0
104,REF Spectral_Monster 8 [SL],OSC,-0.7811643,0.65152293,14
105,REF Spectral_Monster 9 [SL],OSC,-0.59816104,0.3787969,6
106,REF Digital_Evolution,OSC,-0.3259712,0.4466371,6
107,REF Spectral_Creeper [SN],OSC,0.40551233,0.47196722,9
108,REF Analog_PWM C64,OSC,-0.10812704,0.5990851,13
109,REF Digital_SubBass_1,OSC,-0.779412,0.0063180453,3
110,REF Digital_Gritty,OSC,0.09647137,0.5212239,8
111,REF Digital_FM_Splat,OSC,0.20829396,0.70074755,8
112,REF Spectral_Solid Phase 1 [SL],OSC,-0.18233976,0.47056696,13
113,REF Digital_Sharts,OSC,0.2583559,0.6074682,8
114,REF Spectral_Trilobyte 3 [SL],OSC,-0.7464099,0.741559,14
115,REF Spectral_Trilobyte 2 [SL],OSC,-0.18127395,0.6456663,13
116,REF Analog_PWM LPF,OSC,-0.2623123,0.10645673,13
117,REF Spectral_AlienSpectral [SN],OSC,0.25787926,0.32892093,8
118,REF Vowel_Allophones,OSC,-0.57649285,0.29536816,0
119,REF Analog_PWM Trench,OSC,-0.24103895,0.24245018,13
120,REF Spectral_Monster 2 [SL],OSC,-0.68814355,0.12260264,0
121,REF Digital_FFT_SQUEAL,OSC,-0.46620575,0.44709602,6
122,REF Spectral_Monster 3 [SL],OSC,0.24540392,0.3958489,8
123,REF Analog_PWM Inception,OSC,0.3599777,0.82124734,10
124,REF Vowel_SAM_SERUM,OSC,0.2407607,0.79650605,8
125,REF Analog_MsPw,OSC,-0.06346658,0.4980493,13
126,REF Analog_SOR_SAW_Wrd,OSC,-0.33329925,0.50442475,6
127,REF Digital_Anti-Stasis,OSC,-0.765646,0.0044620377,3
128,REF Digital_Evol Longreece,OSC,-0.4044099,0.4675194,6
129,REF Analog_PWM DS,OSC,0.30985686,0.7917659,8
130,REF Spectral_Gremlin [SN],OSC,0.25785592,0.3290232,8
131,REF Digital_Harmonic Subtle,OSC,-0.99232787,0.41425192,11
