,sound_name,content,embedding_x,embedding_y,cluster
0,REF Analog_PWM_Mdc,OSC,0.2375987,-0.0693356,0
1,REF Analog_Basic Mini,OSC,0.122406535,-0.097663224,0
2,REF Spectral_Oddpass [SN],OSC,-0.112465724,-0.5492927,12
3,REF Spectral_Monster 1 [SL],OSC,0.28193554,0.13218798,0
4,REF Digital_Dull_toy,OSC,0.42263353,0.2953355,13
5,REF Digital_Dist Fwapper SQ,OSC,-0.11021574,-0.69213736,12
6,REF Analog_MiniBass,OSC,0.3156202,0.3204393,13
7,REF Digital_FMFM,OSC,0.5214774,0.5258243,13
8,REF Analog_PWM Juno,OSC,0.20967966,-0.13959335,0
9,REF Analog_PWM Reso,OSC,-0.110879175,-0.77312243,0
10,REF Analog_BS2-Acid,OSC,0.23371643,0.00022136109,0
11,REF Spectral_Solid Phase 2 [SL],OSC,0.33442315,0.14229232,0
12,REF Spectral_Trilobyte 1 [SL],OSC,0.31560934,-0.13362792,0
13,REF Analog_Basic_Mdc,OSC,0.10212682,-0.1899958,0
14,REF Digital_FFT_Animal 1,OSC,0.89531386,0.3477244,6
15,REF Digital_Scream,OSC,0.7200389,0.44313025,5
16,REF Spectral_Phase Werb [SL],OSC,0.2654039,-0.023693651,0
17,REF Analog_Jno,OSC,0.70865434,0.20510533,1
18,REF Digital_GS-xello,OSC,0.24769479,0.2306045,0
19,REF Spectral_Squelchy 2 [SL],OSC,0.32580727,0.039188936,0
20,REF Analog_Basic_Cjw,OSC,0.73704916,0.47567958,5
21,REF Digital_Wraith,OSC,-0.5473252,-0.7670693,3
22,REF Digital_VintageSynth,OSC,-0.10608299,-0.7186409,0
23,REF Digital_DirtySaw,OSC,0.14181018,-0.23909192,0
24,REF Vowel_Fred_Likes_Bass,OSC,0.18300143,0.074160576,0
25,REF Digital_Hoo,OSC,-0.32472116,-0.59650576,12
26,REF Digital_Yoy64,OSC,0.6730989,0.31905317,1
27,REF Digital_Reese,OSC,0.5265502,0.42123312,13
28,REF Spectral_Electric Guitar [SL],OSC,-0.079227366,-0.49984902,12
29,REF Spectral_Reesey Mess 1[SL],OSC,0.2763,0.21397518,0
30,REF Digital_Misfits,OSC,-0.05090618,-0.3679471,0
31,REF Analog_MB Triangle(Metal),OSC,0.6284485,0.3120945,1
32,REF Digital_SSQ,OSC,-0.28498793,-0.6772347,12
33,REF Digital_Dist Sub Dskperc,OSC,0.69631153,0.53211063,5
34,REF Analog_PWM Restricted,OSC,0.10894656,-0.0073637753,0
35,REF Analog_BSOD_Square,OSC,0.79535043,0.17273954,1
36,REF Digital_Sludgecrank,OSC,-0.045528233,-0.44745502,0
37,REF Digital_bipole_harmonic,OSC,0.6750715,0.707633,5
38,REF Spectral_Thin Thick [SL],OSC,0.17587999,-0.34384903,0
39,REF Digital_Dist 8bit Fwap,OSC,0.4041805,0.10693121,0
40,REF Analog_MsAw,OSC,0.19840859,0.0060188468,0
41,REF Analog_SawRoundedToSquare,OSC,0.84118915,0.43203557,6
42,REF Spectral_Squelchy FM 1 [SL],OSC,0.42297244,-0.09995159,0
43,REF Spectral_Monster 6 [SL],OSC,-0.058523357,-0.58197904,12
44,REF Spectral_Squelchy 3[SL],OSC,0.516308,0.272817,13
45,REF Spectral_Monster 7 [SL],OSC,0.49968696,0.32119155,13
46,REF Digital_Weow,OSC,0.43860996,0.3741179,13
47,REF Vowel_Retro_Speaking,OSC,-0.50964916,-0.7169592,3
48,REF Analog_PWM MG,OSC,0.1966502,-0.05083326,0
49,REF Digital_Debussy,OSC,0.08717939,0.14826077,0
50,REF Spectral_Light Metal 1 [SL],OSC,0.06545739,-0.32126206,0
51,REF Analog_Acid,OSC,-0.042900145,-0.28730458,0
52,REF Digital_PWM Weird,OSC,-0.20208642,-0.65789354,12
53,REF Analog_DS Saw and Tri,OSC,0.16971485,0.005502374,0
54,REF Digital_Prime,OSC,0.6168423,0.24557124,1
55,REF Digital_Ring,OSC,-0.2406988,-0.7258337,12
56,REF Vowel_E_Yeah,OSC,0.5743084,0.21115007,13
57,REF Digital_Dist WaTech,OSC,0.06658074,-0.12133519,0
58,REF Analog_Basic_McB,OSC,0.08931248,-0.17015718,0
59,REF Digital_Dist d00t,OSC,-0.12862659,-0.60603464,12
60,REF Digital_CrushWub,OSC,0.43829834,0.37518197,13
61,REF Vowel_Native Curse,OSC,-0.17675978,-0.3479656,12
62,REF Vowel_SAM_Speaks,OSC,-0.35138184,-0.99999946,14
63,REF Spectral_Scount [SN],OSC,-0.22007172,-0.78981435,12
64,REF Vowel_DudaChoir,OSC,-0.16831735,-0.35936004,12
65,REF Digital_Tigra,OSC,-0.17809908,-0.5885546,12
66,REF Digital_Evol Sweep,OSC,0.37542537,0.0021439942,0
67,REF Spectral_Bowed Metal [ML],OSC,-0.30232692,-0.49599996,12
68,REF Analog_PWM Maths,OSC,-0.4658579,-0.89947695,7
69,REF Analog_Sweep20,OSC,0.3376502,-0.005650578,0
70,REF Analog_Basic_Wrd,OSC,0.8407195,0.45243767,6
71,REF Digital_Hypa,OSC,0.12720466,-0.17355624,0
72,REF Analog_BS2-Subby Saw,OSC,0.21711323,-0.10330372,0
73,REF Spectral_Reesey Mess 5 [SL],OSC,0.4102116,-0.041863788,0
74,REF Spectral_Reesey Mess 4 [SL],OSC,0.4350778,0.2435979,13
75,REF Spectral_Squelchy 1 [SL],OSC,0.2558394,-0.095210105,0
76,REF Analog_MATRIXY C64,OSC,0.18226053,-0.15482973,0
77,REF Analog_Basic Mg,OSC,0.63995373,0.3574503,5
78,REF Spectral_Monster 8 [SL],OSC,0.8342008,0.26271003,1
79,REF Spectral_Monster 9 [SL],OSC,0.6443902,0.20281093,1
80,REF Digital_Evolution,OSC,0.30961186,0.018375684,0
81,REF Spectral_Creeper [SN],OSC,-0.3117096,-0.4787447,12
82,REF Analog_PWM C64,OSC,0.09548927,-0.25491685,0
83,REF Digital_SubBass_1,OSC,0.6810119,0.559778,5
84,REF Digital_Gritty,OSC,-0.075591765,-0.4369062,12
85,REF Digital_FM_Splat,OSC,-0.1508245,-0.66167,12
86,REF Spectral_Solid Phase 1 [SL],OSC,0.15677571,-0.060315814,0
87,REF Digital_Sharts,OSC,-0.20913942,-0.59415877,12
88,REF Spectral_Trilobyte 3 [SL],OSC,0.8236421,0.1612146,1
89,REF Spectral_Trilobyte 2 [SL],OSC,0.19625202,-0.22444133,0
90,REF Analog_PWM LPF,OSC,0.21326023,0.33036083,13
91,REF Spectral_AlienSpectral [SN],OSC,-0.24205321,-0.3627365,12
92,REF Vowel_Allophones,OSC,0.5743949,0.21111612,13
93,REF Analog_PWM Trench,OSC,0.20720963,0.14773358,0
94,REF Spectral_Monster 2 [SL],OSC,0.62796223,0.4431856,5
95,REF Digital_FFT_SQUEAL,OSC,0.4670304,0.0626983,0
96,REF Spectral_Monster 3 [SL],OSC,-0.20838086,-0.41035917,12
97,REF Analog_PWM Inception,OSC,-0.38093957,-0.74049795,12
98,REF Vowel_SAM_SERUM,OSC,-0.1824782,-0.75631386,12
99,REF Analog_MsPw,OSC,0.04125909,-0.16964523,0
100,REF Analog_SOR_SAW_Wrd,OSC,0.32883978,-0.033127636,0
101,REF Digital_Anti-Stasis,OSC,0.66874063,0.57987237,5
102,REF Digital_Evol Longreece,OSC,0.4047723,0.022952512,0
103,REF Analog_PWM DS,OSC,-0.26631764,-0.7757737,12
104,REF Spectral_Gremlin [SN],OSC,-0.2419759,-0.36273602,12
105,REF Digital_Harmonic Subtle,OSC,0.92646265,0.5184444,6
106,REF Digital_FM_Freak,OSC,0.9118927,0.55002964,6
107,REF Digital_Dist C2,OSC,-0.25647864,-0.59760165,12
108,REF Digital_Razor,OSC,-0.12507734,-0.4480437,12
109,REF Analog_PWM MedicineHat,OSC,-0.38087392,-0.74052775,12
110,REF Spectral_Squelchy FM 2 [SL],OSC,0.12080874,-0.313725,0
111,REF Vowel_WahWah,OSC,0.5931474,0.53018916,5
112,REF Digital_Mario,OSC,0.4821499,0.37965244,13
113,REF Spectral_Monster 5 [SL],OSC,-0.041964058,-0.5180284,12
114,REF Spectral_Monster 4 [SL],OSC,0.2193673,-0.36254352,0
115,REF Digital_PerfectSOSteps,OSC,0.801251,0.18388629,1
116,REF Analog_MellowButInstable,OSC,0.5575956,0.46419868,13
117,REF Digital_Kream,OSC,0.38314828,0.13442248,0
118,REF Digital_PWM Electro,OSC,-0.32512948,-0.5965491,12
119,REF Digital_Dist Bass Dropper,OSC,0.1806965,-0.25841966,0
120,REF Analog_BS2-Filthy,OSC,-0.01504286,-0.28992683,0
121,REF Analog_4088,OSC,0.062726766,-0.22023006,0
122,REF Analog_PWM Genji,OSC,0.11522358,-0.007145913,0
123,REF Spectral_Grimace [SN],OSC,-0.34628922,-0.5179679,12
124,REF Analog_SawRounded,OSC,0.72137207,0.5518492,5
125,REF Vowel_OOH_YAH_OO,OSC,0.29124543,0.2683457,13
126,REF Analog_Analog_BD_Sin,OSC,0.86095864,0.4691492,6
127,REF Analog_MB Saw,OSC,0.12524538,-0.14255564,0
128,REF Digital_Voxu,OSC,0.46933338,0.18098068,13
129,REF Digital_Harmonic Morph,OSC,0.94085425,0.5280174,6
130,REF Spectral_Reesey Mess 2 [SL],OSC,0.35101333,0.07814359,0
131,REF Spectral_Reesey Mess 3 [SL],OSC,0.37570935,-0.0582132,0
132,LD Essence [7S],Leads,-0.63895774,-0.7442727,3
133,LD Gamers [BR],Leads,-0.43999103,0.24772283,9
134,LD Paradigm Drift [SN],Leads,-0.2864742,0.3514716,9
135,LD Theremax [ASL],Leads,0.1757342,0.45914656,13
136,LD Hardstyle Lead [SN],Leads,-0.65995044,-0.62656444,4
137,LD 8bitcycle [AF],Leads,-0.56010187,-0.35980865,4
138,LD Screamy Sync Square [ASL],Leads,-0.34224346,0.27386788,9
139,LD Birth Of Electro [FP],Leads,-0.16312622,0.35219976,9
140,LD Cripple [JD],Leads,-0.27573612,0.40896288,0
141,LD Kidsos [7S],Leads,-0.49191082,-0.20077626,9
142,LD Mobius Sync [SD],Leads,0.14881454,-0.41105765,0
143,LD Rave [7S],Leads,-0.6066562,-0.3137657,4
144,LD Dirty Lead [SW],Leads,-0.64858866,-0.43877062,4
145,LD Plucking Organ thief [DK],Leads,-0.56468236,-0.22405611,4
146,LD booty [AF],Leads,-0.72321093,-0.81271636,8
147,LD Sad Melody [7S],Leads,0.045340404,0.20629899,0
148,LD Hypersaw [JD],Leads,-0.5861752,-0.1812465,4
149,LD Ring Scream [PL],Leads,-0.13264546,0.48843333,9
150,LD Old Lead [FN],Leads,-0.20746821,0.15513676,9
151,LD Magic Pipe [BR],Leads,-0.17743124,-0.52636284,12
