Frequency (Hz),Power (dB),44100.0000,2048,0,2.0000,0,L+R
0.00,-40.17
21.53,-32.67
43.07,-28.37
64.60,-24.62
86.13,-22.35
107.67,-20.71
129.20,-17.59
150.73,-21.03
172.27,-23.76
193.80,-25.79
215.33,-24.15
236.87,-23.60
258.40,-29.00
279.93,-30.09
301.46,-30.09
323.00,-35.17
344.53,-36.11
366.06,-35.72
387.60,-31.65
409.13,-32.20
430.66,-32.28
452.20,-33.14
473.73,-34.47
495.26,-35.33
516.80,-36.42
538.33,-38.37
559.86,-40.09
581.40,-40.72
602.93,-40.72
624.46,-39.62
646.00,-39.16
667.53,-39.70
689.06,-39.23
710.60,-38.45
732.13,-38.45
753.66,-37.51
775.20,-38.45
796.73,-38.84
818.26,-39.08
839.79,-39.55
861.33,-39.86
882.86,-40.87
904.39,-42.59
925.93,-43.14
947.46,-43.22
968.99,-42.83
990.53,-42.28
1012.06,-41.50
1033.59,-42.05
1055.13,-41.42
1076.66,-39.78
1098.19,-40.33
1119.73,-39.78
1141.26,-39.16
1162.79,-39.16
1184.33,-38.45
1205.86,-39.31
1227.39,-41.19
1248.93,-41.34
1270.46,-40.72
1291.99,-41.81
1313.53,-41.19
1335.06,-41.03
1356.59,-40.95
1378.13,-39.62
1399.66,-41.73
1421.19,-41.89
1442.72,-40.25
1464.26,-39.55
1485.79,-39.78
1507.32,-38.84
1528.86,-39.08
1550.39,-38.69
1571.92,-36.81
1593.46,-38.84
1614.99,-39.86
1636.52,-39.47
1658.06,-40.48
1679.59,-40.56
1701.12,-39.39
1722.66,-40.80
1744.19,-40.72
1765.72,-39.08
1787.26,-39.31
1808.79,-38.92
1830.32,-38.37
1851.86,-39.55
1873.39,-39.23
1894.92,-38.06
1916.46,-39.47
1937.99,-39.55
1959.52,-38.53
1981.05,-39.78
2002.59,-39.47
2024.12,-39.16
2045.65,-39.55
2067.19,-38.84
2088.72,-39.16
2110.25,-40.33
2131.79,-40.09
2153.32,-38.69
2174.85,-39.70
2196.39,-39.55
2217.92,-39.62
2239.45,-40.25
2260.99,-39.55
2282.52,-39.70
2304.05,-39.94
2325.59,-39.08
2347.12,-40.72
2368.65,-41.42
2390.19,-41.03
2411.72,-41.34
2433.25,-41.73
2454.79,-40.95
2476.32,-41.26
2497.85,-41.42
2519.38,-40.80
2540.92,-40.64
2562.45,-40.80
2583.98,-40.72
2605.52,-41.66
2627.05,-41.81
2648.58,-41.26
2670.12,-42.83
2691.65,-43.22
2713.18,-43.45
2734.72,-43.61
2756.25,-43.37
2777.78,-42.59
2799.32,-43.45
2820.85,-43.45
2842.38,-43.37
2863.92,-43.69
2885.45,-43.22
2906.98,-44.16
2928.52,-44.63
2950.05,-44.08
2971.58,-44.39
2993.12,-44.86
3014.65,-44.63
3036.18,-45.02
3057.71,-45.56
3079.25,-45.48
3100.78,-45.25
3122.31,-45.80
3143.85,-45.88
3165.38,-45.80
3186.91,-46.34
3208.45,-45.95
3229.98,-46.34
3251.51,-46.74
3273.05,-45.95
3294.58,-46.34
3316.11,-46.58
3337.65,-46.42
3359.18,-46.50
3380.71,-46.42
3402.25,-45.56
3423.78,-46.74
3445.31,-46.97
3466.85,-45.56
3488.38,-46.97
3509.91,-47.52
3531.45,-47.28
3552.98,-47.83
3574.51,-47.99
3596.04,-47.99
3617.58,-48.38
3639.11,-48.14
3660.64,-48.22
3682.18,-48.61
3703.71,-48.30
3725.24,-48.14
3746.78,-48.45
3768.31,-48.38
3789.84,-48.84
3811.38,-48.84
3832.91,-48.45
3854.44,-48.53
3875.98,-48.92
3897.51,-48.53
3919.04,-48.53
3940.58,-49.16
3962.11,-49.16
3983.64,-48.92
4005.18,-48.84
4026.71,-48.84
4048.24,-49.47
4069.78,-49.86
4091.31,-49.39
4112.84,-48.92
4134.38,-46.81
4155.91,-44.86
4177.44,-45.88
4198.97,-46.89
4220.51,-49.16
4242.04,-49.94
4263.57,-50.49
4285.11,-51.03
4306.64,-50.95
4328.17,-50.88
4349.71,-50.88
4371.24,-50.64
4392.77,-50.80
4414.31,-50.72
4435.84,-51.35
4457.37,-51.81
4478.91,-52.44
4500.44,-52.67
4521.97,-52.52
4543.51,-52.52
4565.04,-52.52
4586.57,-52.52
4608.11,-52.36
4629.64,-52.44
4651.17,-51.97
4672.71,-52.05
4694.24,-52.28
4715.77,-52.44
4737.30,-52.52
4758.84,-53.06
4780.37,-52.75
4801.90,-52.91
4823.44,-53.30
4844.97,-53.46
4866.50,-53.22
4888.04,-53.38
4909.57,-53.30
4931.10,-52.67
4952.64,-52.83
4974.17,-52.75
4995.70,-52.21
5017.24,-52.36
5038.77,-52.60
5060.30,-52.60
5081.84,-53.14
5103.37,-52.99
5124.90,-53.46
5146.44,-53.77
5167.97,-53.61
5189.50,-53.69
5211.04,-53.69
5232.57,-53.69
5254.10,-53.92
5275.63,-53.85
5297.17,-53.85
5318.70,-53.77
5340.23,-53.92
5361.77,-53.77
5383.30,-53.77
5404.83,-53.85
5426.37,-54.24
5447.90,-54.94
5469.43,-55.10
5490.97,-55.02
5512.50,-55.17
5534.03,-55.10
5555.57,-55.10
5577.10,-55.10
5598.63,-55.02
5620.17,-55.10
5641.70,-55.02
5663.23,-54.94
5684.77,-54.86
5706.30,-55.33
5727.83,-55.80
5749.37,-55.96
5770.90,-56.35
5792.43,-56.19
5813.96,-56.19
5835.50,-56.42
5857.03,-56.35
5878.56,-56.66
5900.10,-56.74
5921.63,-56.97
5943.16,-57.21
5964.70,-57.05
5986.23,-56.97
6007.76,-56.82
6029.30,-56.82
