Frequency (Hz),Power (dB),44100.0000,2048,0,2.0000,0,L+R
0.00,-65.26
21.53,-70.65
43.07,-46.66
64.60,-40.17
86.13,-45.64
107.67,-30.48
129.20,-23.60
150.73,-28.84
172.27,-60.18
193.80,-69.01
215.33,-65.10
236.87,-39.16
258.40,-31.26
279.93,-35.40
301.46,-59.55
323.00,-69.40
344.53,-67.21
366.06,-46.34
387.60,-37.20
409.13,-40.25
430.66,-60.25
452.20,-71.58
473.73,-70.73
495.26,-53.46
516.80,-43.06
538.33,-45.02
559.86,-62.21
581.40,-74.01
602.93,-72.21
624.46,-56.66
646.00,-45.56
667.53,-46.97
689.06,-62.75
710.60,-75.10
732.13,-73.77
753.66,-59.55
775.20,-47.59
796.73,-48.22
818.26,-62.36
839.79,-75.80
861.33,-76.59
882.86,-62.60
904.39,-50.10
925.93,-50.17
947.46,-63.07
968.99,-77.52
990.53,-78.15
1012.06,-65.80
1033.59,-51.50
1055.13,-50.49
1076.66,-61.97
1098.19,-78.31
1119.73,-79.16
1141.26,-68.93
1162.79,-53.61
1184.33,-51.74
1205.86,-61.74
1227.39,-79.24
1248.93,-80.96
1270.46,-72.29
1291.99,-56.58
1313.53,-54.32
1335.06,-63.46
1356.59,-81.27
1378.13,-81.67
1399.66,-74.16
1421.19,-57.44
1442.72,-54.16
1464.26,-61.89
1485.79,-80.96
1507.32,-82.06
1528.86,-75.57
1550.39,-58.30
1571.92,-54.08
1593.46,-60.41
1614.99,-78.77
1636.52,-81.67
1658.06,-75.65
1679.59,-58.69
1701.12,-53.61
1722.66,-59.39
1744.19,-77.60
1765.72,-81.98
1787.26,-75.65
1808.79,-62.52
1830.32,-57.36
1851.86,-61.43
1873.39,-74.63
1894.92,-82.53
1916.46,-75.26
1937.99,-62.21
1959.52,-56.19
1981.05,-59.24
2002.59,-71.58
2024.12,-81.20
2045.65,-75.57
2067.19,-63.22
2088.72,-57.28
2110.25,-59.86
2131.79,-70.65
2153.32,-80.10
2174.85,-75.80
2196.39,-64.16
2217.92,-58.07
2239.45,-60.49
2260.99,-69.32
2282.52,-79.32
2304.05,-76.90
2325.59,-64.16
2347.12,-57.75
2368.65,-59.79
2390.19,-69.24
2411.72,-79.40
2433.25,-76.98
2454.79,-65.72
2476.32,-58.77
2497.85,-59.94
2519.38,-69.47
2540.92,-80.10
2562.45,-78.93
2583.98,-67.52
2605.52,-59.86
2627.05,-60.33
2648.58,-69.87
2670.12,-79.71
2691.65,-79.24
2713.18,-68.07
2734.72,-59.39
2756.25,-59.71
2777.78,-68.30
2799.32,-80.18
2820.85,-80.10
2842.38,-71.19
2863.92,-61.11
2885.45,-59.00
2906.98,-65.96
2928.52,-80.10
2950.05,-80.81
2971.58,-73.93
2993.12,-64.16
3014.65,-62.13
3036.18,-68.30
3057.71,-79.48
3079.25,-79.56
3100.78,-72.91
3122.31,-61.50
3143.85,-58.46
3165.38,-63.93
3186.91,-76.98
3208.45,-78.85
3229.98,-73.30
3251.51,-62.83
3273.05,-59.79
3294.58,-64.08
3316.11,-75.73
3337.65,-79.63
3359.18,-71.66
3380.71,-61.58
3402.25,-58.93
3423.78,-63.54
3445.31,-75.57
3466.85,-79.32
3488.38,-72.60
3509.91,-62.60
3531.45,-60.64
3552.98,-64.32
3574.51,-74.55
3596.04,-79.24
3617.58,-74.63
3639.11,-64.40
3660.64,-59.94
3682.18,-62.05
3703.71,-71.58
3725.24,-77.45
3746.78,-73.15
3768.31,-64.94
3789.84,-61.66
3811.38,-63.85
3832.91,-71.58
3854.44,-76.12
3875.98,-73.62
3897.51,-66.04
3919.04,-61.11
3940.58,-61.97
3962.11,-69.63
3983.64,-75.18
4005.18,-73.38
4026.71,-66.11
4048.24,-61.19
4069.78,-61.35
4091.31,-67.91
4112.84,-75.26
