Frequency (Hz),Power (dB),44100.0000,2048,0,2.0000,0,L+R
0.00,-114.80
21.53,-111.05
43.07,-108.23
64.60,-106.05
86.13,-105.19
107.67,-103.94
129.20,-102.14
150.73,-102.45
172.27,-102.22
193.80,-101.59
215.33,-101.51
236.87,-101.05
258.40,-99.87
279.93,-99.64
301.46,-99.17
323.00,-97.76
344.53,-96.12
366.06,-95.50
387.60,-94.40
409.13,-93.70
430.66,-93.70
452.20,-92.21
473.73,-90.57
495.26,-89.79
516.80,-87.60
538.33,-86.28
559.86,-85.18
581.40,-84.24
602.93,-82.29
624.46,-81.27
646.00,-79.01
667.53,-76.51
689.06,-74.01
710.60,-70.80
732.13,-65.18
753.66,-50.72
775.20,-38.45
796.73,-39.08
818.26,-53.46
839.79,-66.82
861.33,-70.57
882.86,-63.38
904.39,-51.19
925.93,-51.03
947.46,-63.15
968.99,-76.27
990.53,-80.18
1012.06,-83.54
1033.59,-86.20
1055.13,-87.21
1076.66,-88.62
1098.19,-91.82
1119.73,-92.29
1141.26,-92.14
1162.79,-94.87
1184.33,-96.98
1205.86,-97.84
1227.39,-99.09
1248.93,-100.03
1270.46,-100.34
1291.99,-101.90
1313.53,-102.06
1335.06,-102.45
1356.59,-103.16
1378.13,-103.16
1399.66,-102.76
1421.19,-103.78
1442.72,-104.01
1464.26,-104.87
1485.79,-105.34
1507.32,-106.12
1528.86,-106.83
1550.39,-107.45
1571.92,-107.84
1593.46,-108.08
1614.99,-109.56
1636.52,-110.58
1658.06,-110.89
1679.59,-111.36
1701.12,-112.38
1722.66,-113.00
1744.19,-112.77
1765.72,-113.63
1787.26,-113.86
1808.79,-114.02
1830.32,-115.11
1851.86,-114.80
1873.39,-113.78
1894.92,-114.80
1916.46,-114.95
1937.99,-114.02
1959.52,-115.50
1981.05,-115.19
2002.59,-115.58
2024.12,-116.36
2045.65,-117.30
2067.19,-116.99
2088.72,-117.46
2110.25,-117.85
2131.79,-118.71
2153.32,-119.64
2174.85,-120.58
2196.39,-120.89
2217.92,-121.21
2239.45,-121.60
2260.99,-121.05
2282.52,-121.13
2304.05,-121.36
2325.59,-121.13
2347.12,-121.13
2368.65,-121.91
2390.19,-121.28
2411.72,-121.36
2433.25,-122.14
2454.79,-122.07
2476.32,-122.22
2497.85,-122.53
2519.38,-121.99
2540.92,-122.61
2562.45,-124.18
2583.98,-124.49
2605.52,-124.49
2627.05,-125.74
2648.58,-126.36
2670.12,-126.36
2691.65,-126.75
2713.18,-127.07
2734.72,-126.83
2756.25,-127.07
2777.78,-127.07
2799.32,-126.44
2820.85,-126.60
2842.38,-126.05
2863.92,-125.66
2885.45,-126.60
2906.98,-126.91
2928.52,-125.74
2950.05,-126.91
2971.58,-128.16
